2026-03-18T09:01:00 | U001 | APPLY_JOB | APP001 created for J001
2026-03-18T09:11:00 | U002 | APPLY_JOB | APP002 created for J001
2026-03-18T09:21:00 | U004 | APPLY_JOB | APP003 created for J002
2026-03-18T09:36:00 | U101 | ACCEPT_APPLICATION | APP003 accepted
2026-03-18T09:41:00 | U001 | APPLY_JOB | APP007 created for J017
2026-03-18T09:42:00 | U101 | ACCEPT_APPLICATION | APP007 accepted
2026-03-18T09:50:00 | U001 | APPLY_JOB | APP008 created for J006
2026-03-18T09:51:00 | U102 | REJECT_APPLICATION | APP008 rejected
2026-03-18T10:00:00 | U003 | APPLY_JOB | APP009 created for J008
2026-05-24T09:30:10.587999 | A001 | APPLY_JOB | APP011 created for J012
2026-05-24T09:30:53.904604 | U101 | MARK_UNDER_REVIEW | APP001 moved to UNDER_REVIEW
2026-05-24T09:32:42.158710 | U101 | ACCEPT_APPLICATION | APP001 accepted
2026-05-24T10:02:50.767008 | U101 | CREATE_JOB | J021 created with status OPEN
2026-05-24T10:05:07.871831 | A001 | APPLY_JOB | APP012 created for J021
2026-05-24T10:06:50.235292 | U101 | MARK_UNDER_REVIEW | APP012 moved to UNDER_REVIEW
2026-05-24T10:08:33.283781 | U101 | REJECT_APPLICATION | APP012 rejected
2026-05-24T10:08:54.826426 | U101 | ACCEPT_APPLICATION | APP012 accepted
